Timestamp,IMU1_Val1,IMU1_Val2,IMU1_Val3,IMU1_Val4,IMU1_Val5,IMU1_Val6,IMU1_Val7,IMU2_Val1,IMU2_Val2,IMU2_Val3,IMU2_Val4,IMU2_Val5,IMU2_Val6,IMU2_Val7,IMU3_Val1,IMU3_Val2,IMU3_Val3,IMU3_Val4,IMU3_Val5,IMU3_Val6,IMU3_Val7,IMU4_Val1,IMU4_Val2,IMU4_Val3,IMU4_Val4,IMU4_Val5,IMU4_Val6,IMU4_Val7,IMU5_Val1,IMU5_Val2,IMU5_Val3,IMU5_Val4,IMU5_Val5,IMU5_Val6,IMU5_Val7,IMU6_Val1,IMU6_Val2,IMU6_Val3,IMU6_Val4,IMU6_Val5,IMU6_Val6,IMU6_Val7
1745408183.266231,1.656195,0.162865,179.796280,0.000000,5841.417969,-7.575756,634240.625000,1.147517,-1.543419,180.189697,0.000000,4056.540771,32.363697,637065.250000,-16.703472,-104.598083,315.465607,0.000000,-103384.546875,-34281.457031,2167201.250000,-5.296916,-71.480431,237.195526,0.000000,-24650.902344,-7430.895508,1204093.875000,18.980724,-85.735115,247.702881,0.000000,92244.578125,31925.531250,1348025.625000,-4.929310,-79.237259,77.172234,0.000000,-7463.291504,-7665.666504,240023.593750
1745408183.266384,1.641163,0.129306,179.845612,0.000000,5789.920898,-6.443541,634588.625000,1.477953,-1.685321,180.158813,0.000000,5223.896484,46.489517,636855.937500,-16.600378,-104.584167,315.536133,0.000000,-102769.507812,-34065.417969,2168017.500000,-5.294446,-71.477615,237.174118,0.000000,-24637.201172,-7427.107422,1203886.875000,18.920650,-85.805756,247.632050,0.000000,91926.375000,31850.679688,1347575.000000,-4.987592,-79.302406,77.099808,0.000000,-7544.424316,-7762.671387,240007.015625
1745408183.269101,1.600464,0.056201,179.907608,0.000000,5648.175293,-4.051892,635025.937500,1.819087,-1.783559,180.055420,0.000000,6426.086426,61.285183,636131.937500,-16.524078,-104.582962,315.448853,0.000000,-102268.804688,-33908.453125,2166932.000000,-5.315296,-71.512283,237.167542,0.000000,-24733.462891,-7459.980957,1203922.750000,18.871609,-85.818054,247.653549,0.000000,91695.984375,31772.742188,1347825.375000,-5.051334,-79.395981,77.047913,0.000000,-7635.710449,-7871.142578,240141.406250
1745408183.311119,1.547963,-0.039758,179.979645,0.000000,5464.969727,-1.071249,635534.562500,2.110456,-1.873438,179.929871,0.000000,7450.248047,75.236313,635251.625000,-16.473034,-104.603546,315.246124,0.000000,-101887.296875,-33810.312500,2164507.750000,-5.349120,-71.580170,237.180496,0.000000,-24892.175781,-7514.572754,1204233.750000,18.831127,-85.769447,247.756348,0.000000,91537.226562,31686.583984,1348661.000000,-5.103086,-79.487122,77.002510,0.000000,-7709.398926,-7960.838867,240288.250000
1745408183.311217,1.466406,-0.185516,180.057663,0.000000,5179.162598,3.068301,636086.312500,2.329143,-1.948712,179.852661,0.000000,8218.750977,86.738388,634712.187500,-16.459005,-104.644958,314.985382,0.000000,-101716.312500,-33794.835938,2161453.500000,-5.381480,-71.670502,237.210938,0.000000,-25045.876953,-7569.595215,1204770.875000,18.764690,-85.681244,247.938416,0.000000,91281.265625,31542.214844,1350135.250000,-5.175537,-79.561981,76.975342,0.000000,-7816.106934,-8081.400879,240439.812500
1745408183.313045,1.427090,-0.333954,180.122009,0.000000,5042.020020,7.107713,636542.437500,2.464803,-2.017554,179.798019,0.000000,8694.777344,95.238747,634332.000000,-16.486721,-104.705070,314.703247,0.000000,-101796.273438,-33871.125000,2158214.750000,-5.381758,-71.802994,237.289963,0.000000,-25055.351562,-7583.978027,1205879.250000,18.655006,-85.538574,248.200470,0.000000,90843.562500,31305.677734,1352207.000000,-5.282351,-79.599312,76.969429,0.000000,-7976.806641,-8251.955078,240538.515625
1745408183.356111,1.425424,-0.488756,180.166855,0.000000,5037.361328,11.483567,636862.000000,2.600428,-2.115475,179.766800,0.000000,9171.596680,105.579460,634119.625000,-16.559887,-104.774361,314.451416,0.000000,-102166.156250,-34043.921875,2155391.000000,-5.487112,-71.994377,237.439560,0.000000,-25561.824219,-7753.019531,1207812.500000,18.641996,-85.326042,248.484222,0.000000,90883.828125,31206.173828,1354260.000000,-5.425978,-79.559631,76.992256,0.000000,-8196.115234,-8472.079102,240483.609375
1745408183.356243,1.454798,-0.646256,180.189865,0.000000,5141.852051,16.309843,637028.187500,2.673465,-2.181258,179.736725,0.000000,9427.638672,112.023102,633913.062500,-16.703217,-104.809982,314.275818,0.000000,-102992.812500,-34350.242188,2153371.500000,-5.578525,-72.144081,237.615173,0.000000,-26006.837891,-7898.603027,1209872.500000,18.644226,-85.156952,248.700806,0.000000,90973.804688,31148.041016,1355807.250000,-5.569035,-79.535965,77.047844,0.000000,-8418.282227,-8692.803711,240577.765625
1745408183.359074,1.528160,-0.805871,180.178055,0.000000,5400.881836,22.081953,636949.250000,2.707384,-2.228115,179.755539,0.000000,9548.300781,115.915833,634049.812500,-16.835382,-104.782272,314.192749,0.000000,-103780.296875,-34612.906250,2152233.250000,-5.635317,-72.262550,237.768158,0.000000,-26288.494141,-7992.109863,1211635.000000,18.660183,-85.030914,248.827087,0.000000,91097.789062,31128.578125,1356619.125000,-5.720485,-79.559769,77.143860,0.000000,-8658.031250,-8931.825195,240942.515625
1745408183.493016,1.646652,-0.954619,180.145767,0.000000,5818.756836,28.783840,636726.062500,2.683995,-2.295732,179.750534,0.000000,9465.570312,118.396622,634020.437500,-16.923935,-104.752243,314.246918,0.000000,-104344.093750,-34784.992188,2152777.750000,-5.656191,-72.312180,237.915543,0.000000,-26402.242188,-8027.211914,1213151.375000,18.676067,-84.954018,248.875580,0.000000,91193.101562,31126.910156,1356836.375000,-5.839825,-79.665787,77.289154,0.000000,-8855.306641,-9130.272461,241713.937500
1745408183.493023,1.797996,-1.077761,180.094299,0.000000,6351.909180,35.962494,636367.187500,2.623624,-2.396332,179.775101,0.000000,9253.962891,120.828270,634203.000000,-16.978470,-104.720032,314.422638,0.000000,-104738.875000,-34886.351562,2154812.750000,-5.603696,-72.310867,238.021378,0.000000,-26168.947266,-7952.588867,1214136.125000,18.678244,-84.909622,248.895065,0.000000,91210.960938,31114.240234,1356878.500000,-5.923307,-79.789978,77.464561,0.000000,-9002.286133,-9275.228516,242635.000000
1745408183.493030,1.935459,-1.173000,180.033447,0.000000,6835.377930,42.441528,635941.437500,2.502210,-2.498391,179.784225,0.000000,8826.201172,120.159058,634277.125000,-17.000498,-104.687965,314.766510,0.000000,-104989.507812,-34920.921875,2158926.000000,-5.438766,-72.182823,238.052719,0.000000,-25402.150391,-7704.969238,1214066.000000,18.664690,-84.898003,248.889984,0.000000,91142.968750,31087.396484,1356790.125000,-5.965723,-79.934380,77.646095,0.000000,-9088.020508,-9358.523438,243639.968750
1745408183.493118,2.093354,-1.255242,179.980072,0.000000,7390.962891,49.374207,635568.312500,2.314272,-2.635350,179.827408,0.000000,8165.378906,117.225212,634595.375000,-16.999640,-104.665863,315.239258,0.000000,-105141.945312,-34911.769531,2164678.750000,-5.274931,-72.014839,238.055176,0.000000,-24637.224609,-7455.453125,1213613.750000,18.598602,-84.910820,248.842987,0.000000,90803.195312,30981.984375,1356373.625000,-5.956718,-80.025101,77.814507,0.000000,-9094.029297,-9354.966797,244438.328125
1745408183.493124,2.222843,-1.328729,179.923279,0.000000,7845.786133,55.698730,635171.000000,2.000513,-2.845915,179.847214,0.000000,7059.238281,109.350609,634757.687500,-16.789089,-104.754166,315.819244,0.000000,-104030.757812,-34508.523438,2172222.750000,-5.135202,-71.842667,238.065277,0.000000,-23985.728516,-7240.646973,1213222.125000,18.457716,-85.037537,248.743408,0.000000,90079.359375,30793.158203,1355823.875000,-5.930862,-80.118462,77.963493,0.000000,-9071.890625,-9325.240234,245187.046875
1745408183.493131,2.308237,-1.417509,179.881104,0.000000,8145.373047,61.912056,634878.062500,1.495444,-3.030594,179.853378,0.000000,5277.179688,86.589272,634822.500000,-16.626760,-104.714119,316.203522,0.000000,-103150.421875,-34161.792969,2176823.000000,-5.000471,-71.667877,238.101852,0.000000,-23360.068359,-7033.597168,1213071.875000,18.365347,-85.210075,248.624084,0.000000,89585.609375,30701.226562,1355235.750000,-5.898671,-80.178108,78.088135,0.000000,-9037.063477,-9281.501953,245756.234375
1745408183.493192,2.346802,-1.526975,179.845444,0.000000,8279.871094,68.023682,634632.687500,1.011132,-3.209238,179.858032,0.000000,3568.045654,61.364716,634877.375000,-16.445269,-104.726227,316.698273,0.000000,-102184.132812,-33792.863281,2183016.500000,-4.901435,-71.515045,238.148651,0.000000,-22902.000000,-6879.615723,1213080.000000,18.287645,-85.364456,248.517197,0.000000,89168.312500,30626.695312,1354709.750000,-5.812369,-80.196136,78.187675,0.000000,-8916.197266,-9147.804688,246118.250000
1745408183.493199,2.336462,-1.659554,179.830688,0.000000,8242.723633,73.796288,634536.875000,0.837978,-3.359048,179.892456,0.000000,2957.438232,52.901131,635139.750000,-16.305906,-104.749397,317.144165,0.000000,-101460.812500,-33513.941406,2188656.750000,-4.838092,-71.401237,238.212830,0.000000,-22612.130859,-6779.916992,1213360.750000,18.227558,-85.493301,248.431412,0.000000,88844.695312,30572.167969,1354305.125000,-5.682144,-80.207588,78.269836,0.000000,-8725.598633,-8944.199219,246406.500000
1745408183.493205,2.280180,-1.834044,179.839188,0.000000,8044.544434,79.789078,634608.812500,0.683655,-3.503327,179.913361,0.000000,2412.988037,44.634666,635306.812500,-16.222103,-104.724487,317.405884,0.000000,-101022.757812,-33333.828125,2191812.500000,-4.805229,-71.341164,238.286133,0.000000,-22465.457031,-6728.208984,1213878.000000,18.171749,-85.581978,248.377960,0.000000,88553.648438,30510.144531,1354081.625000,-5.650953,-80.262253,78.356728,0.000000,-8687.302734,-8901.189453,246845.625000
